Casting_Temperature_C,Rolling_Speed_m_min,Cooling_Rate_C_s,UTS_MPa,Elongation_%,Conductivity_%_IACS
697.7181358,163.6438376,39.71224874,500.7114144,78.08127188,54.28226023
714.0570051,142.2426394,34.4007262,511.5149862,79.15909608,54.24454796
716.6294716,131.0620943,38.22422411,515.50595,79.55829708,54.19977252
692.5911768,146.584556,29.93655147,505.4248294,76.58125538,54.63531383
706.8302139,129.9449409,31.10430674,515.4914794,78.64996427,54.10915589
696.7207338,178.9226774,38.59412859,488.6107805,76.21568835,54.76882009
693.1687485,125.7747895,36.35300053,499.1128188,77.61572152,54.54649142
739.4980116,155.3527034,39.72115481,532.552204,81.77052122,54.26724167
706.1176922,157.5878313,36.62146315,499.6701006,77.86490086,54.53654016
730.4937223,152.2847726,31.72773561,522.1999119,83.24824526,53.78511391
702.7320327,159.7311531,32.9660203,511.0001351,78.37949078,54.3489425
724.0751361,126.9708465,38.50773239,524.6843019,80.76867994,54.55807531
728.011393,153.3011115,33.27470104,515.0131797,80.49877108,54.33792358
719.781937,137.2327543,28.83096061,511.590897,80.12229765,53.86249442
713.5788094,176.4105638,31.53429719,496.6661829,80.10557955,53.5200951
710.5920457,165.7242992,32.74473983,507.4622073,79.08971653,53.08139301
707.4434133,178.3508689,26.4507975,507.4713276,79.42510481,53.51688054
736.4764572,122.2533642,36.15644011,529.5849239,82.64664833,54.24574197
731.5309704,137.1079905,26.640309,521.8544857,81.30305541,53.82804111
738.2513455,131.7253552,31.0737657,533.0954717,80.93928509,54.2464909
696.2148612,120.6692752,37.06933662,508.4769117,76.241755,54.56682667
726.5433738,134.5395438,32.01355542,524.2822383,82.49209864,54.5447463
736.9170228,160.726559,37.6302328,520.449551,82.74133734,54.42823371
699.0616533,133.8653353,30.12821983,507.3238858,79.05555401,54.5891503
693.3248134,150.5402067,39.36454441,501.4226539,76.92820131,54.62803859
727.0560325,173.2690869,28.14202648,520.3630507,79.96542191,53.96780616
718.7236557,161.6254752,25.57396217,513.89685,80.31136584,53.92283793
732.0914388,143.6777442,38.08639814,528.4049002,81.21146961,54.78950233
696.9886188,142.3481363,36.28304074,501.1963967,76.75315818,54.64882238
729.7633656,147.3441488,28.47975756,526.1581189,80.08269237,53.35517074
700.081366,130.6224865,39.77112411,514.0490394,76.28926779,54.40280361
698.1827971,158.040046,32.53420194,494.1814043,78.8489628,53.16858335
698.2132899,141.8491691,39.2659816,509.2508479,76.65267159,53.45534845
730.728736,171.141921,32.57543157,511.455421,81.75351234,53.68565182
723.259861,165.3931596,32.0781188,504.2829643,80.32428031,53.92363432
716.1532712,156.6307898,31.73707806,511.7362773,80.61811113,53.85634489
707.9415242,141.8521334,30.02312914,514.1103351,79.62882048,53.29389631
733.860027,132.5959099,33.00552246,527.9092809,81.50378916,54.72169929
709.6222554,166.5691118,31.78831993,504.2947012,79.50326297,53.61660392
730.829972,149.1845459,25.55120315,519.0066955,81.69510093,54.2638667
711.9567454,133.4850023,28.9065285,528.2658121,79.13500097,53.90356168
708.8472215,131.7104769,28.196842,508.9976207,80.45496283,53.99801589
713.1339893,129.9240543,38.01153403,521.9543883,78.98974847,54.67783221
705.0688937,166.6296718,33.98304966,502.6226602,78.72088674,53.83879069
727.380469,133.7392311,36.45524651,519.2961326,79.50015948,54.47696641
715.1360195,151.5985358,39.35239057,511.8464538,79.82002703,54.40972364
701.6106348,147.0927817,34.66058909,499.7128197,77.81745242,53.50871901
734.9787287,154.776654,39.73914987,518.0789161,81.03406671,54.48591082
709.1945611,172.629294,29.67646077,502.5738207,78.59607221,53.39842913
717.1776431,172.0648434,27.79400773,499.2137832,80.20406747,53.27970018
735.3236055,147.0645643,31.04964832,526.0743462,79.97340552,53.78704625
721.2118998,120.921975,32.06199122,519.5105522,81.20044743,54.83926407
695.844902,145.5866283,38.43042314,496.9878577,77.62430427,53.51255733
736.9916062,156.3716122,33.39910659,516.1822307,81.56191969,54.42976493
721.3854027,153.4658855,29.38271499,525.5327065,79.12117385,54.22277193
706.7452807,159.0801663,36.13951424,495.7582698,79.30061905,54.16915549
696.9636036,129.2445439,32.58747906,511.8890541,77.43265885,54.48264239
729.7012595,158.7921059,27.43197918,513.4548166,82.90461386,53.81566681
721.0036378,130.9590971,33.65229681,519.4634489,80.9040679,54.70459864
716.6730546,165.0314388,38.67091805,511.8467503,81.26841525,53.90982362
734.6946292,140.3452568,37.63933926,528.0178311,81.72446599,53.53690445
729.4298606,162.593726,33.80214959,512.5333304,82.33070134,54.01149483
697.583744,122.8719359,30.65624761,505.1411712,78.68833306,54.78508391
705.5861034,144.4716015,26.30468127,512.5622761,78.79239486,54.32739694
702.424457,162.3020713,32.04473385,505.2834931,78.82741903,54.92507492
727.1973146,133.612231,36.28119156,522.0901405,80.07168562,54.26290762
691.6766217,167.7172227,30.4041058,497.732866,79.71623632,53.85053397
718.4944842,157.846784,28.53170238,509.6640595,80.3219982,53.87551156
728.1229343,155.2537063,38.97069579,513.3501674,80.88996893,53.83872139
733.8382818,141.2129313,37.32333551,524.5750724,81.90764727,54.09776426
707.1040874,148.9470882,34.57413429,511.463081,77.8947567,53.68256921
731.0628652,155.8409581,27.05175016,520.3253965,83.07507012,52.83568614
695.5315868,148.3477268,27.17363261,505.8072888,77.1691475,53.76988398
732.3226146,161.8987994,26.54829387,513.7887731,80.6533762,53.92372211
696.3744331,146.021816,34.24445,512.2900774,77.7586968,54.54003126
709.8643645,132.1363909,26.73344195,513.5793607,78.37046686,53.9254771
729.8647683,132.836027,37.63940798,524.4869978,82.66644697,54.14239994
697.4958714,120.3482261,39.89447503,506.0501883,77.52416012,55.10971707
701.4625698,138.0574629,30.49522277,508.3447702,75.40032834,53.56374311
726.1126284,164.9350584,31.8050477,516.2369854,81.22095897,53.90511376
726.0018268,167.6497625,35.67500765,516.5185377,81.36993829,54.51562987
722.0573816,132.1480525,39.05729509,529.1939788,79.83144116,54.10545895
724.6974222,177.5426398,38.4114066,511.6870936,79.19327887,53.22603392
717.1362222,150.1441676,25.86387743,514.9094268,80.31712133,54.86926066
702.5899529,175.0187249,27.53607704,496.5578834,78.40048598,54.20018195
707.2847997,162.4059169,36.31895798,501.6119227,77.93696015,54.51750434
699.0798858,163.3460054,35.33339662,505.3873839,77.07749368,54.02855313
735.4225281,125.1026173,26.99827891,534.9358306,82.34857461,54.60925295
719.1695897,133.1994676,32.53096873,514.2398911,81.19343234,53.07343025
710.0425708,120.52889,36.71221947,522.4780979,79.63018995,54.31030849
713.1002902,162.9676584,28.28171023,510.911766,78.16794565,54.4097425
737.364167,140.6662973,38.06931454,520.9131499,82.44842898,53.65677103
697.6675702,167.199151,25.79457662,501.3763238,79.2495022,53.67717343
719.3114916,140.3361732,36.73292628,512.3071615,81.4881996,54.49112776
715.2944339,169.1600251,34.2372835,494.7527446,78.86769146,53.60100703
720.5727118,127.8418952,29.7279902,521.1332752,80.51426903,54.31982845
690.9055092,130.4023894,35.81398823,507.6211113,77.86737576,54.60509833
733.6061954,140.4525924,36.73548693,524.091966,80.9962915,54.48117006
736.6059141,144.5092433,39.00848457,539.2857181,82.26207703,54.13470571
718.2566592,140.9221687,30.51662008,518.7459351,80.27580859,53.7865843
724.8325412,165.818822,35.29025104,513.4063331,79.87228675,54.24569223
736.1249691,125.8170836,34.03924415,532.465316,81.14929246,54.5921902
725.3619317,141.0730212,32.87809104,518.1524645,82.14157798,54.39184512
697.6269521,170.2344,38.35624711,502.3905514,76.8484642,54.12202871
